id,imps
55425,150
71382,60
55447,150
71380,150
71381,100
71386,150
71387,150
71384,60
71385,30
55445,150
70381,7
70380,150
70383,150
70385,30
70384,150
70387,150
70386,150
70389,60
70388,7
02586,150
02587,150
02584,150
02585,150
02582,150
02583,150
02580,150
02581,150
36031,150
36030,150
36033,60
36032,60
36035,150
36034,150
36037,60
02589,7
33209,60
33208,150
14389,100
14388,30
14383,150
14382,150
14381,150
14380,150
14387,100
14386,100
14385,30
14384,150
87001,60
87002,100
87003,150
87004,150
87005,60
87006,150
87007,150
87008,150
87009,150
55426,30
88524,150
44078,150
44079,30
02638,150
02639,150
44070,30
44071,30
44072,30
02637,7
44074,60
02631,30
02632,150
44077,150
81005,150
24133,150
80158,60
71030,100
71031,100
71032,100
71033,150
71034,150
71035,100
71036,150
71037,150
71038,150
71039,100
76563,30
76562,100
76561,7
76560,30
76567,60
76566,60
76565,60
76564,150
76569,100
76568,30
03215,150
03214,150
03217,150
03216,150
03211,30
03210,150
03213,150
03212,150
03219,150
03218,150
80154,30
80152,60
11380,150
11381,150
11382,30
11383,30
11384,150
11385,150
11386,150
11387,150
11388,150
11389,150
89178,150
89179,150
19159,150
19158,150
19155,150
19154,150
19157,150
19156,150
19151,60
19150,150
19153,100
19152,150
2A268,150
2A269,150
52269,60
52266,150
52267,7
2A266,150
52265,150
52262,150
2A262,150
43181,150
43180,150
43183,150
43182,150
43185,100
43184,150
43187,150
43186,150
43189,150
43188,150
60351,150
60350,150
60357,150
60356,60
60355,60
60354,100
83008,100
83009,30
80759,60
80758,150
80755,150
80754,150
80757,150
80756,150
80751,100
80750,30
80753,30
80752,60
83004,60
46009,150
46008,150
83005,150
46003,100
46002,100
46001,150
46007,100
46006,100
46005,150
46004,150
64298,150
64299,150
64296,30
64297,150
64294,150
64295,30
64292,150
64293,150
64290,60
64291,100
95555,7
95554,60
67553,7
24200,150
12129,150
12128,150
12121,150
12120,150
12123,150
12122,150
12125,150
12124,150
12127,150
12126,150
10417,150
10416,60
10415,150
10414,150
90008,60
10412,100
10411,150
10410,150
90004,60
90005,100
90006,100
90007,60
90001,30
10419,150
10418,150
63110,150
24209,150
63112,100
63113,150
63114,150
63115,150
63116,150
24208,150
63118,150
63119,150
83-09,150
62869,30
62868,150
62867,60
62866,100
62865,60
62864,150
62863,30
62862,150
62861,60
62860,150
76306,100
76305,7
58189,60
58188,150
58181,150
58180,150
58183,150
58182,150
58185,150
58184,150
58187,150
58186,150
45060,150
45061,30
45062,150
45063,150
45064,150
45065,30
45066,150
48095,60
45068,30
45069,150
48098,150
48099,150
24238,150
24239,150
54374,60
54375,30
54372,150
54373,30
54370,150
54371,150
24230,150
24231,150
24232,150
24233,100
24234,150
24235,150
54378,150
54379,150
62243,150
62242,150
62241,30
62240,100
62247,150
62246,150
62245,30
62244,60
79009,100
79008,150
62249,30
62248,150
63061,100
34208,30
34209,60
59580,100
59581,150
59586,30
59587,100
59584,60
59585,30
34200,60
34201,150
34202,30
34203,150
34204,30
34205,60
34206,60
34207,150
35159,60
35158,60
79058,60
35153,150
35152,30
35151,100
35150,30
35157,30
35156,60
35155,100
35154,150
79056,150
07079,150
07078,60
72001,30
07075,150
07074,30
07077,100
07076,60
07071,150
07070,30
07073,150
07072,30
79055,150
91667,30
91666,7
91665,7
91662,60
91661,7
79053,150
79050,100
79051,150
77238,150
77239,150
51472,30
51473,150
51470,150
51471,100
51476,150
51477,60
51474,60
51475,150
51478,7
51479,150
59326,100
59327,60
59324,30
59325,60
59322,150
59323,100
59320,60
59321,30
59328,7
59329,60
77230,150
77231,60
73098,30
73099,100
73090,150
73091,150
73092,60
73093,100
73094,150
73095,100
73096,30
73097,30
32310,150
32311,150
32312,150
32313,150
32314,150
32315,150
32316,150
32317,150
32318,100
32319,150
78398,60
51298,100
51299,60
06038,100
06039,30
06032,30
06033,7
06030,7
06031,30
06036,7
06037,150
06034,30
06035,7
25611,60
25610,150
25613,150
25612,60
25615,60
25614,7
25617,150
25616,60
25619,150
25618,60
26140,100
26141,30
26142,150
26143,150
26144,30
26145,100
26146,150
26147,150
26148,150
26149,150
33449,7
33448,30
92020,7
33443,150
33442,60
33441,30
33440,60
33447,30
33446,150
33445,60
33444,60
76149,100
44221,100
44220,30
44223,30
69-08,150
44222,150
36178,150
69-03,150
69-02,150
69-04,150
69-07,150
36179,60
76369,60
76368,60
76365,150
76364,150
76367,30
76366,30
76361,60
76360,150
76363,100
76362,150
36170,150
36171,150
78010,60
78013,100
78015,7
08085,150
08084,150
39340,150
39341,150
08081,100
08080,150
08083,100
08082,150
39348,60
39349,150
08089,150
08088,150
31593,150
31592,30
31591,150
31590,150
48056,150
27551,150
27552,150
55380,150
27553,30
55381,150
87123,150
48053,150
55383,150
27556,150
2A066,150
55384,150
2A064,150
27557,30
2A062,150
2A060,150
2A061,150
91047,60
77108,7
77109,30
77102,150
77103,150
77100,150
55387,150
77106,150
77107,30
77104,30
91507,150
91041,60
91508,7
02018,100
02019,150
02014,30
02015,60
02016,60
02017,60
02010,100
02011,150
02012,7
02013,150
42032,60
29299,30
42030,150
42031,30
42036,30
42037,30
42034,150
29298,60
17-05,150
42038,30
42039,150
17-02,150
85020,150
85021,100
85022,150
08070,150
85023,150
29290,60
